epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.8301806449890137,0.18861356377601624,0.392487496137619,0.001,0.4462246000766754,0.284017950296402,0.6762908697128296,0.10457363724708557,0.6195893883705139,0.13411779701709747,0.1640750914812088
1,0.8658027648925781,0.23971202969551086,0.30310261249542236,0.001,0.6344406604766846,0.3787124752998352,0.6993944048881531,0.2298116683959961,0.6054432988166809,0.324506938457489,0.6807277202606201
2,0.8772063255310059,0.280094712972641,0.2779904305934906,0.001,0.6848533153533936,0.4386579692363739,0.7201796174049377,0.22808247804641724,0.614356279373169,0.3313505947589874,0.6044679880142212
3,0.8880693316459656,0.31468141078948975,0.25867751240730286,0.001,0.7322880625724792,0.4851877689361572,0.853157639503479,0.20758970081806183,0.41900700330734253,0.6970880031585693,0.25365447998046875
4,0.8943829536437988,0.3440280258655548,0.24389749765396118,0.001,0.7541185021400452,0.5187578797340393,0.8832130432128906,0.3759767413139343,0.2899860441684723,0.7334113717079163,0.5242548584938049
5,0.9020914435386658,0.3766728341579437,0.22807373106479645,0.001,0.7804073691368103,0.5575280785560608,0.8900827169418335,0.4063378572463989,0.2704916298389435,0.7342755198478699,0.5955557823181152
6,0.9085662364959717,0.4070468544960022,0.21394959092140198,0.001,0.7993109822273254,0.5920730233192444,0.8963667154312134,0.3768635094165802,0.25262072682380676,0.8792044520378113,0.4715629518032074
7,0.9138327836990356,0.4323092997074127,0.20347505807876587,0.001,0.8156609535217285,0.617954671382904,0.8942758440971375,0.38953161239624023,0.27367499470710754,0.8389747142791748,0.49169009923934937
8,0.9181272983551025,0.4543757736682892,0.19315789639949799,0.001,0.8251718878746033,0.6436322927474976,0.8844970464706421,0.4025810658931732,0.27409201860427856,0.6958745718002319,0.6227481961250305
9,0.9242417216300964,0.4847710430622101,0.17884592711925507,0.001,0.8445745706558228,0.6705353260040283,0.9003247022628784,0.4416138529777527,0.2436118721961975,0.7914697527885437,0.595953106880188
